text,ai
"class Solution {
    private static final int MOD = 1_000_000_007;

    public int findMaximumElegance(int[][] items, int k) {
        int n = items.length;
        List<int[]>[] categoryItems = new List[n + 1];
        for (int i = 0; i <= n; i++) {
            categoryItems[i] = new ArrayList<>();
        }
        for (int[] item : items) {
            categoryItems[item[1]].add(item);
        }

        PriorityQueue<Integer> pq = new PriorityQueue<>();
        long[] dp = new long[k + 1];
        dp[0] = 0;
        int totalItems = 0;
        for (List<int[]> itemList : categoryItems) {
            if (itemList.isEmpty()) continue;

            Collections.sort(itemList, Comparator.comparingInt(a -> -a[0]));
            int categoryProfit = 0;
            for (int[] item : itemList) {
                categoryProfit += item[0];
                pq.offer(item[0]);
                if (pq.size() > totalItems + 1) {
                    categoryProfit -= pq.poll();
                }
            }

            for (int j = Math.min(k, totalItems + itemList.size()); j >= 0; j--) {
                for (int l = Math.max(0, j - totalItems); l <= Math.min(j, itemList.size()); l++) {
                    dp[j] = Math.max(dp[j], (j - l > 0 ? dp[j - l - 1] : 0) + categoryProfit);
                }
            }

            totalItems += itemList.size();
        }

        long res = 0;
        for (int i = 1; i <= k; i++) {
            res = Math.max(res, dp[i] + (long)i * i);
        }

        return (int)(res % MOD);
    }
}",1
"class Solution:
    def findMaximumElegance(self, items: List[List[int]], k: int) -> int:
        n = len(items)
        items.sort(key=lambda x: (-x[0], x[1]))
        dp = [[0, 0] for _ in range(n + 1)]
        for i in range(1, n + 1):
            dp[i][0] = max(dp[i - 1][0], dp[i - 1][1])
            dp[i][1] = max(dp[i - 1][0] + items[i - 1][0], dp[i - 1][1] + items[i - 1][0])
        return max(dp[k]) + len(set([item[1] for item in items[:k]])) ** 2",1
"class Solution {
public:
    long long findMaximumElegance(std::vector<std::vector<int>>& items, int k) {
        const int MOD = 1e9 + 7;
        int n = items.size();
        std::vector<std::unordered_map<int, long long>> dp(n);
        for (int i = 0; i < n; i++) {
            dp[i][1 << items[i][1]] = items[i][0];
            for (int j = 0; j < i; j++) {
                for (auto& [mask, val] : dp[j]) {
                    int newMask = mask | (1 << items[i][1]);
                    dp[i][newMask] = std::max(dp[i][newMask], val + items[i][0]);
                }
            }
        }
        long long maxElegance = 0;
        for (int i = 0; i < n; i++) {
            for (auto& [mask, val] : dp[i]) {
                int cnt = __builtin_popcount(mask);
                if (cnt >= k) {
                    maxElegance = std::max(maxElegance, val + cnt * cnt);
                }
            }
        }
        return maxElegance % MOD;
    }
};",1
"public class Solution {
    public int maxSum(int[] nums) {
        // Create an array of size 10 to keep track of the maximum values for each digit (0-9)
        int[] maxDigits = new int[10];
        
        // Iterate through the array and update the maxDigits array with the maximum values for each digit
        for (int num : nums) {
            int maxDigit = getMaxDigit(num);
            maxDigits[maxDigit] = Math.max(maxDigits[maxDigit], num);
        }
        
        int maxSum = -1;
        
        // Iterate through the maxDigits array to find pairs with equal maximum digits
        for (int i = 0; i <= 9; i++) {
            for (int j = i; j <= 9; j++) {
                if (maxDigits[i] != 0 && maxDigits[j] != 0 && i == j) {
                    maxSum = Math.max(maxSum, maxDigits[i] + maxDigits[j]);
                }
            }
        }
        
        return maxSum;
    }
    
    // Helper method to get the maximum digit from a number
    private int getMaxDigit(int num) {
        int maxDigit = 0;
        while (num > 0) {
            maxDigit = Math.max(maxDigit, num % 10);
            num /= 10;
        }
        return maxDigit;
    }
    
}",1
"class Solution:
    def maxSum(self, nums: List[int]) -> int:
        max_digit_sum = {}  # Dictionary to store the maximum sum for each maximum digit
        
        for num in nums:
            max_digit = max(str(num))  # Find the maximum digit in the current number
            if max_digit in max_digit_sum:
                max_digit_sum[max_digit] = max(max_digit_sum[max_digit], num)
            else:
                max_digit_sum[max_digit] = num
        
        max_sum = -1  # Initialize the maximum sum to -1
        
        # Iterate through the dictionary to find the maximum sum
        for digit, num in max_digit_sum.items():
            if max_digit_sum[digit] != num:
                max_sum = max(max_sum, num + max_digit_sum[digit])
        
        return max_sum",1
"class Solution {
public:
    int maxSum(std::vector<int>& nums) {
        std::vector<int> maxDigit(10, -1); // To store the maximum number for each digit (0-9)
        int maxSum = -1; // Initialize maxSum to -1 as the minimum possible answer
        
        for (int num : nums) {
            int maxDig = 0; // To store the maximum digit in the current number
            int temp = num; // Temporary variable to avoid modifying num
            
            while (temp > 0) {
                int digit = temp % 10;
                maxDig = std::max(maxDig, digit); // Update maxDig if a larger digit is found
                temp /= 10;
            }
            
            if (maxDigit[maxDig] != -1) {
                // If we have seen a number with the same maximum digit before, update maxSum
                maxSum = std::max(maxSum, maxDigit[maxDig] + num);
            }
            
            // Update maxDigit[maxDig] with the maximum of the current number and the previous maximum
            maxDigit[maxDig] = std::max(maxDigit[maxDig], num);
        }
        
        return maxSum;
    }
};",1
"public class Solution {
    public String finalString(String s) {
        StringBuilder result = new StringBuilder();
        StringBuilder reverseBuffer = new StringBuilder();
        
        boolean reverse = false;
        
        for (char c : s.toCharArray()) {
            if (c == 'i') {
                reverse = !reverse;
            } else {
                if (reverse) {
                    reverseBuffer.insert(0, c);
                } else {
                    result.append(c);
                }
            }
        }
        
        result.append(reverseBuffer);
        
        return result.toString();
    }
    
}",1
"class Solution:
    def finalString(self, s: str) -> str:
        stack = []  # Use a stack to simulate typing process
        
        for char in s:
            if char == 'i':
                # If the character is 'i', reverse the stack
                stack.reverse()
            else:
                stack.append(char)
        
        # Convert the stack to a string and return
        return ''.join(stack)",1
"class Solution {
public:
    std::string finalString(std::string s) {
        std::string result = """"; // Initialize the result string
        
        for (char c : s) {
            if (c == 'i') {
                // If the character is 'i', reverse the result string
                std::reverse(result.begin(), result.end());
            } else {
                // Otherwise, append the character to the result string
                result += c;
            }
        }
        
        return result;
    }
};",1
"public class Solution {
    public int minAbsoluteDifference(List<Integer> nums, int x) {
        int n = nums.size();
        int minAbsDiff = Integer.MAX_VALUE;
        
        // Create a TreeMap to store the indices of elements
        TreeMap<Integer, Integer> indexMap = new TreeMap<>();
        
        for (int i = 0; i < n; i++) {
            int num = nums.get(i);
            
            // Check if there exists a number in the TreeMap with a difference of at least x
            // from the current number, and update the minimum absolute difference accordingly.
            Integer floorKey = indexMap.floorKey(num - x);
            if (floorKey != null) {
                int index = indexMap.get(floorKey);
                minAbsDiff = Math.min(minAbsDiff, Math.abs(num - nums.get(index)));
            }
            
            // Check if there exists a number in the TreeMap with a difference of at least x
            // from the current number, and update the minimum absolute difference accordingly.
            Integer ceilingKey = indexMap.ceilingKey(num + x);
            if (ceilingKey != null) {
                int index = indexMap.get(ceilingKey);
                minAbsDiff = Math.min(minAbsDiff, Math.abs(num - nums.get(index)));
            }
            
            // Update the index of the current number in the TreeMap.
            indexMap.put(num, i);
        }
        
        return minAbsDiff;
    }
   
}",1
"class Solution:
    def minAbsoluteDifference(self, nums: List[int], x: int) -> int:
        nums.sort()  # Sort the input array
        
        min_diff = float('inf')  # Initialize the minimum difference to positive infinity
        
        left = 0  # Initialize the left pointer
        right = x  # Initialize the right pointer
        
        while right < len(nums):
            min_diff = min(min_diff, nums[right] - nums[left])  # Update the minimum difference
            
            left += 1  # Move the left pointer
            right += 1  # Move the right pointer
        
        return min_diff",1
"class Solution {
public:
    int minAbsoluteDifference(std::vector<int>& nums, int x) {
        int n = nums.size();
        std::vector<std::pair<int, int>> indexedNums; // Store the numbers along with their indices
        
        // Create a vector of pairs (number, index)
        for (int i = 0; i < n; ++i) {
            indexedNums.push_back({nums[i], i});
        }
        
        // Sort the vector based on numbers
        std::sort(indexedNums.begin(), indexedNums.end());
        
        int minDiff = INT_MAX; // Initialize the minimum difference to a large value
        
        // Traverse the sorted vector and find the minimum absolute difference
        for (int i = 0; i < n; ++i) {
            // Find the index of the element that is at least x indices apart
            int j = i + x;
            if (j < n) {
                int diff = abs(indexedNums[i].first - indexedNums[j].first);
                minDiff = std::min(minDiff, diff);
            }
        }
        
        return minDiff;
    }
};",1
"public class Solution {
    public ListNode doubleIt(ListNode head) {
        if (head == null) {
            return null;
        }

        int carry = 0;
        ListNode current = head;
        ListNode prev = null;

        // Traverse the list in reverse order and double the values
        while (current != null) {
            int newVal = current.val * 2 + carry;
            carry = newVal / 10;
            current.val = newVal % 10;

            prev = current;
            current = current.next;
        }

        // If there's a remaining carry, add a new node for it
        if (carry > 0) {
            ListNode newNode = new ListNode(carry);
            prev.next = newNode;
        }

        return reverseList(head);
    }

    public ListNode reverseList(ListNode head) {
        ListNode prev = null;
        ListNode current = head;

        while (current != null) {
            ListNode nextNode = current.next;
            current.next = prev;
            prev = current;
            current = nextNode;
        }

        return prev;
    }
}",1
"class Solution:
    def doubleIt(self, head: Optional[ListNode]) -> Optional[ListNode]:
        if not head:
            return None
        
        carry = 0
        current = head
        prev = None
        
        # Traverse the list in reverse order and double the values
        while current:
            newVal = current.val * 2 + carry
            carry = newVal // 10
            current.val = newVal % 10
            
            prev = current
            current = current.next
        
        # If there's a remaining carry, add a new node for it
        if carry > 0:
            newNode = ListNode(carry)
            prev.next = newNode
        
        return self.reverseList(head)
    
    def reverseList(self, head: Optional[ListNode]) -> Optional[ListNode]:
        prev = None
        current = head
        
        while current:
            nextNode = current.next
            current.next = prev
            prev = current
            current = nextNode
        
        return prev",1
"class Solution {
public:
    ListNode* doubleIt(ListNode* head) {
        if (!head) {
            return nullptr;
        }

        int carry = 0;
        ListNode* current = head;
        ListNode* prev = nullptr;

        // Traverse the list in reverse order and double the values
        while (current) {
            int newVal = current->val * 2 + carry;
            carry = newVal / 10;
            current->val = newVal % 10;

            prev = current;
            current = current->next;
        }

        // If there's a remaining carry, add a new node for it
        if (carry > 0) {
            ListNode* newNode = new ListNode(carry);
            prev->next = newNode;
        }

        return reverseList(head);
    }

    ListNode* reverseList(ListNode* head) {
        ListNode* prev = nullptr;
        ListNode* current = head;

        while (current) {
            ListNode* nextNode = current->next;
            current->next = prev;
            prev = current;
            current = nextNode;
        }

        return prev;
    }
};",1
"public class Solution {
    public int maximumScore(List<Integer> nums, int k) {
        int MOD = 1000000007;
        int n = nums.size();
        
        // Create an array to store the prime scores for each element.
        int[] primeScores = new int[n];
        
        // Calculate the prime scores for each element using a helper function.
        for (int i = 0; i < n; i++) {
            primeScores[i] = calculatePrimeScore(nums.get(i));
        }
        
        long score = 1L; // Initialize the score as a long integer to avoid overflow.
        
        // Create a max heap to keep track of the elements with the highest prime scores.
        PriorityQueue<Integer> maxHeap = new PriorityQueue<>((a, b) -> Integer.compare(primeScores[b], primeScores[a]));
        
        // Initialize the max heap with the element at index k.
        maxHeap.offer(k);
        
        // Create two arrays to keep track of the left and right boundaries of the subarray.
        int[] left = new int[n];
        int[] right = new int[n];
        
        // Initialize the left and right boundaries.
        left[k] = k;
        right[k] = k;
        
        // Perform at most k operations.
        for (int i = 0; i < k; i++) {
            int maxIndex = maxHeap.poll(); // Get the index with the highest prime score.
            
            // Calculate the new score by multiplying the current score by the selected element.
            score = (score * nums.get(maxIndex)) % MOD;
            
            // Update the left and right boundaries for the subarray.
            int newLeft = left[maxIndex] - 1;
            int newRight = right[maxIndex] + 1;
            
            // Add the new potential candidates to the max heap.
            if (newLeft >= 0) {
                maxHeap.offer(newLeft);
                left[newLeft] = newLeft;
                right[newLeft] = right[maxIndex];
            }
            if (newRight < n) {
                maxHeap.offer(newRight);
                left[newRight] = left[maxIndex];
                right[newRight] = newRight;
            }
        }
        
        return (int)score;
    }
    
    // Helper function to calculate the prime score of an integer.
    private int calculatePrimeScore(int num) {
        Set<Integer> factors = new HashSet<>();
        
        // Find prime factors of the number.
        while (num % 2 == 0) {
            factors.add(2);
            num /= 2;
        }
        
        for (int i = 3; i <= Math.sqrt(num); i += 2) {
            while (num % i == 0) {
                factors.add(i);
                num /= i;
            }
        }
        
        if (num > 2) {
            factors.add(num);
        }
        
        return factors.size();
    }
}",1
"class Solution:
    def maximumScore(self, nums: List[int], k: int) -> int:
        def prime_score(x):
            factors = set()
            while x % 2 == 0:
                factors.add(2)
                x //= 2
            for i in range(3, int(x ** 0.5) + 1, 2):
                while x % i == 0:
                    factors.add(i)
                    x //= i
            if x > 2:
                factors.add(x)
            return len(factors)
        
        max_score = 1
        MOD = 10 ** 9 + 7
        
        pq = []  # Priority queue to store elements by their prime scores
        
        for num in nums:
            heapq.heappush(pq, (-prime_score(num), num))  # Use a negative score to get the maximum prime score first
        
        while k > 0:
            prime_score, num = heapq.heappop(pq)  # Pop the element with the highest prime score
            max_score = (max_score * num) % MOD
            k -= 1
        
        return max_score",1
"class Solution {
public:
    const int MOD = 1e9 + 7;

    int maximumScore(std::vector<int>& nums, int k) {
        int n = nums.size();
        std::unordered_map<int, int> primeScore; // Map to store prime scores of elements
        int left = 0; // Left pointer of the sliding window
        long long score = 1; // Initial score
        int maxScore = 1; // Maximum score

        for (int right = 0; right < n; ++right) {
            // Calculate prime score for the new element
            int curScore = calculatePrimeScore(nums[right]);

            // Update prime score map
            primeScore[nums[right]]++;

            // Increment the score by multiplying it with the prime score
            score = (score * curScore) % MOD;

            // Check if the window size exceeds k, then we need to shrink the window
            while (right - left + 1 > k) {
                int leftElem = nums[left];
                primeScore[leftElem]--;

                // If the left element has no more occurrences in the window, remove it from the map
                if (primeScore[leftElem] == 0) {
                    primeScore.erase(leftElem);
                }

                // Move the left pointer to the right
                left++;
            }

            // Update the maximum score
            maxScore = std::max(maxScore, static_cast<int>(score));
        }

        return maxScore;
    }

    // Helper function to calculate the prime score of an integer
    int calculatePrimeScore(int x) {
        int score = 0;
        for (int i = 2; i * i <= x; ++i) {
            while (x % i == 0) {
                x /= i;
                score++;
            }
        }
        if (x > 1) {
            score++;
        }
        return score;
    }
};",1
"public class Solution {
    public int findMaximumElegance(int[][] items, int k) {
        List<int[]> itemList = new ArrayList<>();
        Map<Integer, Integer> categoryFreq = new HashMap<>();
        int totalProfit = 0;
        int distinctCategories = 0;
        int maxElegance = 0;

        for (int[] item : items) {
            itemList.add(item);
        }

        Collections.sort(itemList, (a, b) -> b[0] - a[0]); // Sort by profit in descending order

        for (int i = 0; i < itemList.size(); i++) {
            int[] item = itemList.get(i);
            int profit = item[0];
            int category = item[1];

            categoryFreq.put(category, categoryFreq.getOrDefault(category, 0) + 1);
            totalProfit += profit;

            if (categoryFreq.get(category) == 1) {
                distinctCategories++;
            }

            int elegance = totalProfit + distinctCategories * distinctCategories;
            maxElegance = Math.max(maxElegance, elegance);

            if (distinctCategories == k) {
                break; // We have reached the required number of distinct categories
            }
        }

        return maxElegance;
    }
}",1
"class Solution:
    def findMaximumElegance(self, items: List[List[int]], k: int) -> int:
        n = len(items)
        max_elegance = 0
        
        # Generate all possible combinations of items with size k
        for combo in combinations(items, k):
            total_profit = sum(item[0] for item in combo)
            categories = [item[1] for item in combo]
            distinct_categories = len(Counter(categories))
            elegance = total_profit + distinct_categories ** 2
            max_elegance = max(max_elegance, elegance)
        
        return max_elegance",1
"class Solution {
public:
    long long findMaximumElegance(std::vector<std::vector<int>>& items, int k) {
        std::unordered_map<int, std::vector<int>> categoryToProfits;
        std::unordered_map<int, long long> categoryToTotalProfit;

        for (auto& item : items) {
            int profit = item[0];
            int category = item[1];
            categoryToProfits[category].push_back(profit);
            categoryToTotalProfit[category] += profit;
        }

        std::vector<long long> maxProfits;
        long long totalElegance = 0;

        for (auto& pair : categoryToProfits) {
            int category = pair.first;
            std::vector<int>& profits = pair.second;

            std::sort(profits.rbegin(), profits.rend());

            long long categoryTotalProfit = categoryToTotalProfit[category];
            int categoryDistinctCount = profits.size();

            for (int i = 0; i < k && i < categoryDistinctCount; ++i) {
                totalElegance += profits[i] + static_cast<long long>(categoryDistinctCount) * categoryDistinctCount;
                maxProfits.push_back(profits[i]);
            }
        }

        std::sort(maxProfits.rbegin(), maxProfits.rend());

        for (int i = k; i < maxProfits.size(); ++i) {
            totalElegance -= maxProfits[i];
        }

        return totalElegance;
    }
};",1
"class Solution {
    public int maxSum(int[] nums) {
        int max = 0;
        int maxDigit = 0;
        for(int i = 0; i < nums.length; i++){
            int digit = 0;
            int num = nums[i];
            while(num > 0){
                digit = Math.max(digit, num % 10);
                num /= 10;
            }
            if(digit > maxDigit){
                maxDigit = digit;
                max = nums[i];
            }
            else if(digit == maxDigit){
                max = Math.max(max, nums[i]);
            }
        }
        
        int maxSum = 0;
        for(int i = 0; i < nums.length; i++){
            int digit = 0;
            int num = nums[i];
            while(num > 0){
                digit = Math.max(digit, num % 10);
                num /= 10;
            }
            if(digit == maxDigit){
                maxSum = Math.max(maxSum, nums[i]);
            }
        }
        
        if(maxSum == 0){
            return -1;
        }
        
        int sum = 0;
        for(int i = 0; i < nums.length; i++){
            if(nums[i] == max){
                sum += nums[i];
            }
            else if(nums[i] == maxSum){
                sum += nums[i];
            }
        }
        
        return sum;
    }
}",1
"class Solution:
    def maxSum(self, nums: List[int]) -> int:
        for i in range(len(nums)):
            for j in range(i+1, len(nums)):
                if max(nums[i], nums[j]) % 10 == max(nums[i] // 10, nums[j] // 10):
                    return max(nums[i], nums[j])
        return -1",1
"class Solution {
public:
    int maxSum(vector<int>& nums) {
       int n = nums.size();
        int max_digit = 0;
        for(int i = 0; i < n; i++){
            int digit = 0;
            int num = nums[i];
            while(num){
                digit = max(digit, num % 10);
                num /= 10;
            }
            max_digit = max(max_digit, digit);
        }
        
        int max_sum = -1;
        for(int i = 0; i < n; i++){
            for(int j = i + 1; j < n; j++){
                int digit = 0;
                int num = nums[i] + nums[j];
                while(num){
                    digit = max(digit, num % 10);
                    num /= 10;
                }
                if(digit == max_digit){
                    max_sum = max(max_sum, nums[i] + nums[j]);
                }
            }
        }
        
        return max_sum;
    }
};",1
"class Solution {
    public String finalString(String s) {
        StringBuilder sb = new StringBuilder();
        for(int i = 0; i < s.length(); i++){
            if(s.charAt(i) == 'i'){
                sb.reverse();
            }
            else{
                sb.append(s.charAt(i));
            }
        }
        return sb.toString();
    }
}",1
"class Solution:
    def finalString(self, s: str) -> str:
        res = """"
        for i in s:
            if i == ""i"":
                res = res[::-1]
            else:
                res += i
        return res",1
"class Solution {
public:
    string finalString(string s) {
        string ans;
        for(int i = 0; i < s.length(); i++){
            if(s[i] == 'i'){
                reverse(ans.begin(), ans.end());
            }
            else{
                ans.push_back(s[i]);
            }
        }
        return ans;
    }
};",1
"class Solution {
    public int minAbsoluteDifference(List<Integer> nums, int x) {
        int min = Integer.MAX_VALUE;
        int n = nums.size();
        for(int i = 0; i < n; i++){
            for(int j = i + x; j < n; j++){
                min = Math.min(min, Math.abs(nums.get(i) - nums.get(j)));
            }
        }
        return min;
    }
}",1
"class Solution:
    def minAbsoluteDifference(self, nums: List[int], x: int) -> int:
        nums.sort()
        min_diff = float('inf')
        for i in range(len(nums)):
            if i + x < len(nums):
                min_diff = min(min_diff, abs(nums[i] - nums[i + x]))
        return min_diff",1
"class Solution {
public:
    int minAbsoluteDifference(vector<int>& nums, int x) {
        int n=nums.size();
        int min=INT_MAX;
        int i=0;
        int j=0;
        for(i=0;i<n;i++){
            for(j=i+1;j<n;j++){
                if(abs(nums[i]-nums[j])<min && abs(i-j)>=x){
                    min=abs(nums[i]-nums[j]);
                }
            }
        }
        return min;
    }
};",1
"class Solution {
    public ListNode doubleIt(ListNode head) {
        ListNode temp = head;
        ListNode prev = null;
        while(temp!=null){
            int val = temp.val;
            temp.val = val*2;
            if(temp.val>9){
                temp.val = temp.val%10;
                if(prev!=null){
                    prev.val+=1;
                }
            }
            prev = temp;
            temp = temp.next;
        }
        return head;
    }
}",1
"class Solution:
    def doubleIt(self, head: Optional[ListNode]) -> Optional[ListNode]:
        if head is None:
            return None
        
        head.val = head.val * 2
        
        if head.next is None:
            return head
        
        head.next = self.doubleIt(head.next)
        
        if head.val > 9:
            head.val = head.val - 10
            head.next.val = head.next.val + 1
            
        return head",1
